t0,t1,trgt,pt,sl,tf,result,symbol
2011-02-18,2011-03-07,0.034720479747400654,1,1.5,2010-12-08,-0.06097636715770849,GOOG
2011-05-24,2011-06-14,0.0362896001649479,1,1.5,2011-03-14,-0.019083065401160892,GOOG
2011-08-08,2011-08-19,0.06575125449668381,1,1.5,2011-05-26,-0.10091207398638602,GOOG
2011-10-28,2011-11-18,0.06583472195177287,1,1.5,2011-08-18,-0.008764568562306896,GOOG
2012-01-20,2012-02-08,0.04010956677658956,1,1.5,2011-11-07,0.04071742490025332,GOOG
2012-04-16,2012-05-07,0.04758118181089068,1,1.5,2012-02-02,0.002441934713310001,GOOG
2012-07-05,2012-07-26,0.04198631629977882,1,1.5,2012-04-24,0.0292656786617278,GOOG
2012-09-21,2012-10-03,0.03881758219798553,1,1.5,2012-07-12,0.038842509067644526,GOOG
2013-01-04,2013-01-25,0.04093160151506507,1,1.5,2012-10-19,0.021274619679140017,GOOG
2013-03-28,2013-04-18,0.029760370761442653,1,1.5,2013-01-15,-0.03560856583453342,GOOG
2013-07-08,2013-07-29,0.032960351140624115,1,1.5,2013-04-25,-0.025212932342659755,GOOG
2013-10-08,2013-10-15,0.031961585711851856,1,1.5,2013-07-29,0.03319784632166667,GOOG
2013-12-23,2014-01-13,0.03398433554564006,1,1.5,2013-10-11,0.007066696636602643,GOOG
2014-03-26,2014-04-11,0.040865730620177274,1,1.5,2014-01-13,-0.0615818919703498,GOOG
2014-07-01,2014-07-22,0.037266464912310976,1,1.5,2014-04-21,0.020714951770304024,GOOG
2014-10-07,2014-10-13,0.03167404326702556,1,1.5,2014-07-28,-0.05415614966382343,GOOG
2014-12-26,2015-01-09,0.046027392173524154,1,1.5,2014-10-15,-0.07089483764209104,GOOG
2015-04-02,2015-04-23,0.040224939271079105,1,1.5,2015-01-21,0.021418040936675098,GOOG
2015-07-13,2015-07-16,0.031037480435248663,1,1.5,2015-04-30,0.0609276718585543,GOOG
2015-10-05,2015-10-23,0.05640497044187606,1,1.5,2015-07-24,0.09436128696474588,GOOG
2016-01-13,2016-01-29,0.05072075076453776,1,1.5,2015-10-30,0.06050871342723774,GOOG
2016-04-26,2016-05-17,0.04030978478247601,1,1.5,2016-02-12,-0.0026972333722592445,GOOG
2016-07-12,2016-07-29,0.03892170716106766,1,1.5,2016-04-29,0.06681553358382808,GOOG
2016-10-24,2016-11-02,0.02903789711974259,1,1.5,2016-08-12,-0.05461738788159998,GOOG
2017-01-23,2017-02-13,0.02826478272071217,1,1.5,2016-11-08,-8.539081429503881e-05,GOOG
2017-04-24,2017-04-28,0.027231576929988708,1,1.5,2017-02-09,0.050071858291134586,GOOG
2017-07-19,2017-08-09,0.03909576148111477,1,1.5,2017-05-08,-0.04942883463153824,GOOG
2017-10-05,2017-10-26,0.030837865825018847,1,1.5,2017-07-26,0.002680466214547428,GOOG
2018-01-03,2018-01-17,0.03773944124514764,1,1.5,2017-10-20,0.0457282988877723,GOOG
2018-03-23,2018-04-13,0.0571982853414733,1,1.5,2018-01-10,0.00753745988960941,GOOG
2018-07-24,2018-08-14,0.0436758610239035,1,1.5,2018-05-11,-0.004791356156557347,GOOG
2018-10-10,2018-10-31,0.05191209108662096,1,1.5,2018-07-31,-0.00411571824459156,GOOG
2019-01-30,2019-02-20,0.05377194394526683,1,1.5,2018-11-14,0.022716829776566305,GOOG
2019-04-23,2019-04-30,0.03276327639759701,1,1.5,2019-02-08,-0.06015580363095341,GOOG
2019-07-03,2019-07-24,0.03766736596734832,1,1.5,2019-04-23,0.014470667630879008,GOOG
2019-10-23,2019-11-07,0.03810941901174546,1,1.5,2019-08-13,0.03949552066270834,GOOG
2020-01-09,2020-01-17,0.028193158688702695,1,1.5,2019-10-28,0.0426529914353555,GOOG
2020-04-23,2020-05-11,0.08849123502982668,1,1.5,2020-02-11,0.09946649052385559,GOOG
2020-07-22,2020-08-12,0.0663574586757822,1,1.5,2020-05-11,-0.03944555909493841,GOOG
2020-10-22,2020-11-04,0.059641674905984814,1,1.5,2020-08-12,0.08283130524217919,GOOG
2021-02-03,2021-02-24,0.07501808097388799,1,1.5,2020-11-19,0.012125167076244336,GOOG
2021-06-04,2021-06-24,0.03805276761810171,1,1.5,2021-03-24,0.03829086323537667,GOOG
2021-08-24,2021-09-14,0.03492987645664904,1,1.5,2021-06-14,0.007075266485130793,GOOG
2022-01-21,2022-02-01,0.05569467653455717,1,1.5,2021-11-09,0.05985379045895178,GOOG
2022-04-11,2022-04-22,0.05173723545696093,1,1.5,2022-01-28,-0.07844969336411667,GOOG
2010-03-23,2010-04-13,0.041392725601906606,1,1.5,2010-01-08,0.019076359376920093,MSFT
2010-06-28,2010-07-19,0.06403630330893004,1,1.5,2010-04-16,0.037844512402513075,MSFT
2010-09-16,2010-10-07,0.045093698803033475,1,1.5,2010-07-07,-0.03158307301500762,MSFT
2010-12-07,2010-12-16,0.03848687140911991,1,1.5,2010-09-27,0.041682132374534,MSFT
2011-02-25,2011-03-18,0.047995064932819506,1,1.5,2010-12-14,-0.06591337289220012,MSFT
2011-05-17,2011-06-07,0.05173432997060322,1,1.5,2011-03-07,-0.01876023585781139,MSFT
2011-08-08,2011-08-29,0.0691301833402429,1,1.5,2011-05-26,0.055555581527078735,MSFT
2011-10-27,2011-11-17,0.06299115687960254,1,1.5,2011-08-17,-0.06275225998064793,MSFT
2012-01-20,2012-02-10,0.04314608684007806,1,1.5,2011-11-07,0.02659040524643519,MSFT
2012-04-10,2012-04-20,0.03752728342124359,1,1.5,2012-01-27,0.06399733835032184,MSFT
2012-06-20,2012-07-11,0.04834854073443859,1,1.5,2012-04-10,-0.05269967837156708,MSFT
2012-10-09,2012-10-31,0.03930782348502573,1,1.5,2012-07-30,-0.025273215634030843,MSFT
2013-03-01,2013-03-22,0.03518289773955129,1,1.5,2012-12-17,0.010733425004350483,MSFT
2013-05-17,2013-06-07,0.052010752018316585,1,1.5,2013-03-07,0.022942336150433285,MSFT
2013-09-06,2013-09-18,0.06143597413606491,1,1.5,2013-06-26,0.06966292465066592,MSFT
2014-01-06,2014-01-27,0.04093592559616711,1,1.5,2013-10-23,-0.002767846273511787,MSFT
2014-05-29,2014-06-19,0.0363372644189695,1,1.5,2014-03-18,0.029003425000489358,MSFT
2014-08-29,2014-09-11,0.03115111681565993,1,1.5,2014-06-19,0.03455865472766351,MSFT
2014-12-16,2014-12-18,0.046500581917254515,1,1.5,2014-10-06,0.052258649652914047,MSFT
2015-03-12,2015-03-18,0.03507532110052685,1,1.5,2014-12-29,0.03607994943247772,MSFT
2015-06-29,2015-07-16,0.043219653818077616,1,1.5,2015-04-17,0.051611471053737645,MSFT
2015-10-01,2015-10-08,0.049176728568038605,1,1.5,2015-07-22,0.06366285841136898,MSFT
2016-03-29,2016-04-19,0.047783775829872484,1,1.5,2016-01-14,0.030707372204153094,MSFT
2016-06-27,2016-06-30,0.043624016791167765,1,1.5,2016-04-15,0.05657645770191544,MSFT
2016-10-24,2016-11-14,0.03373860185726701,1,1.5,2016-08-12,-0.04721313226418422,MSFT
2017-03-30,2017-04-20,0.02670822959540112,1,1.5,2017-01-18,-0.003195846711285033,MSFT
2017-07-19,2017-08-09,0.03458761610141296,1,1.5,2017-05-08,-0.01881937961226643,MSFT
2017-10-10,2017-10-20,0.03065356527076848,1,1.5,2017-07-31,0.03303180774446046,MSFT
2018-01-04,2018-01-17,0.03195061516915984,1,1.5,2017-10-23,0.03478359267669218,MSFT
2018-05-23,2018-06-13,0.049924586621579684,1,1.5,2018-03-13,0.02219739236491436,MSFT
2018-10-01,2018-10-10,0.038548811917533406,1,1.5,2018-07-20,-0.08174030705260671,MSFT
2018-12-24,2019-01-08,0.08568866426434524,1,1.5,2018-10-11,0.09210672528756536,MSFT
2019-04-12,2019-04-23,0.03455589061254791,1,1.5,2019-01-31,0.0371228243609254,MSFT
2019-11-04,2019-11-15,0.03531128116017491,1,1.5,2019-08-23,0.03749566277770766,MSFT
2020-01-16,2020-01-30,0.02792668752893051,1,1.5,2019-11-04,0.03977854416072857,MSFT
2020-04-22,2020-05-13,0.0971897486596858,1,1.5,2020-02-10,0.03590361672511677,MSFT
2020-08-28,2020-09-08,0.05618812248111951,1,1.5,2020-06-18,-0.11467388746691576,MSFT
2020-12-28,2021-01-19,0.04146076071420882,1,1.5,2020-10-15,-0.03787341757727525,MSFT
2021-04-05,2021-04-23,0.047849245852240596,1,1.5,2021-01-21,0.048500366230531,MSFT
2021-07-22,2021-08-12,0.034729186768580986,1,1.5,2021-05-11,0.012825829042699022,MSFT
2021-10-27,2021-11-08,0.04163498096021495,1,1.5,2021-08-17,0.04276379686363119,MSFT
2022-02-23,2022-03-02,0.0680366457288011,1,1.5,2021-12-10,0.07107437188632648,MSFT
2022-06-10,2022-07-01,0.07393752968582505,1,1.5,2022-03-30,0.0260483850587514,MSFT
